Starttime,Endtime,Hall,Production
2006-11-23 20:30:00,1970-01-01 00:00:00,Theaterzaal,5685
2006-11-23 22:00:00,1970-01-01 00:00:00,Balzaal,5569
2006-11-24 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-24 20:00:00,1970-01-01 00:00:00,Minard,5623
2006-11-24 21:00:00,1970-01-01 00:00:00,Concertzaal,5593
2006-11-24 22:00:00,1970-01-01 00:00:00,Balzaal,5759
2006-11-25 14:00:00,1970-01-01 00:00:00,Café,5565
2006-11-25 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-25 20:00:00,1970-01-01 00:00:00,Concertzaal,5711
2006-11-25 22:00:00,1970-01-01 00:00:00,Balzaal,5761
2006-11-28 21:30:00,1970-01-01 00:00:00,Concertzaal,5765
2006-11-29 20:00:00,1970-01-01 00:00:00,Balzaal,5613
2006-11-30 19:30:00,1970-01-01 00:00:00,Balzaal,5601
2006-11-30 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-11-30 22:00:00,1970-01-01 00:00:00,Café,5705
2006-12-01 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-12-01 20:00:00,1970-01-01 00:00:00,Theaterzaal,5547
2006-12-02 20:00:00,1970-01-01 00:00:00,Diverse Zalen,5537
2006-12-02 20:30:00,1970-01-01 00:00:00,Diverse Zalen,5769
2006-12-05 20:00:00,1970-01-01 00:00:00,Balzaal,5809
2006-12-06 20:00:00,1970-01-01 00:00:00,Balzaal,5567
2006-12-06 20:30:00,1970-01-01 00:00:00,Theaterzaal,5513
2006-12-07 10:00:00,1970-01-01 00:00:00,Op Locatie,5771
2006-12-07 19:00:00,2006-12-07 23:00:00,Diverse Zalen,5799
2006-12-07 20:00:00,1970-01-01 00:00:00,Domzaal,5549
2006-12-07 20:30:00,1970-01-01 00:00:00,De Centrale (Kelderzaal),5773
2006-12-07 20:30:00,1970-01-01 00:00:00,Ticketbalie,5797
2006-12-08 18:30:00,1970-01-01 00:00:00,Op Locatie,5559
2006-12-08 19:00:00,2006-12-08 23:00:00,Diverse Zalen,5799
2006-12-08 20:00:00,1970-01-01 00:00:00,Domzaal,5549
2006-12-08 21:30:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5775
2006-12-09 16:00:00,1970-01-01 00:00:00,Balzaal,5815
2006-12-09 19:00:00,2006-12-09 23:00:00,Diverse Zalen,5799
2006-12-09 20:00:00,1970-01-01 00:00:00,Domzaal,5549
2006-12-09 20:30:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5777
2006-12-09 22:30:00,1970-01-01 00:00:00,Concertzaal,5561
2006-12-10 16:00:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5779
2006-12-10 20:00:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5781
2006-12-10 20:30:00,1970-01-01 00:00:00,Concertzaal,5709
2006-12-11 19:00:00,2006-12-11 23:00:00,Diverse Zalen,5799
2006-12-11 20:00:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5801
2006-12-11 22:00:00,1970-01-01 00:00:00,Concertzaal,5701
2006-12-12 19:00:00,2006-12-12 23:00:00,Diverse Zalen,5799
2006-12-12 20:00:00,1970-01-01 00:00:00,Balzaal,5783
2006-12-12 20:00:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5803
2006-12-12 21:30:00,1970-01-01 00:00:00,Concertzaal,5687
2006-12-13 19:00:00,2006-12-13 23:00:00,Diverse Zalen,5799
2006-12-13 20:00:00,1970-01-01 00:00:00,Theaterzaal,5551
2006-12-13 20:00:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5805
2006-12-13 21:30:00,1970-01-01 00:00:00,Concertzaal,5519
2006-12-14 19:00:00,2006-12-14 23:00:00,Diverse Zalen,5799
2006-12-14 20:00:00,1970-01-01 00:00:00,Balzaal,5785
2006-12-14 20:00:00,1970-01-01 00:00:00,De Centrale (Turbinezaal),5807
2006-12-14 23:00:00,1970-01-01 00:00:00,Café,5787
2006-12-15 18:30:00,1970-01-01 00:00:00,Op Locatie,5559
2006-12-15 19:00:00,2006-12-15 23:00:00,Diverse Zalen,5799
2006-12-15 20:00:00,1970-01-01 00:00:00,Domzaal,5789
2006-12-15 22:00:00,1970-01-01 00:00:00,Café,5791
2006-12-16 19:00:00,2006-12-16 23:00:00,Diverse Zalen,5799
2006-12-16 20:00:00,1970-01-01 00:00:00,Theaterzaal,5793
2006-12-16 22:00:00,1970-01-01 00:00:00,Concertzaal,5817
2006-12-16 23:00:00,1970-01-01 00:00:00,Balzaal,5795
2006-12-17 14:00:00,1970-01-01 00:00:00,Café,5607
2006-12-19 20:00:00,1970-01-01 00:00:00,Domzaal,5553
2006-12-19 20:00:00,1970-01-01 00:00:00,Balzaal,5583
